,Biomodel name,coverage,automatic annotation,ontology for automatic annotation,manual annotation,ontology for manual annotation
776,BIOMD0000000840,1.0,"['Reducing Excipient', 'Rehabilitation', 'Mathematical Model', 'Hydrocodone/Acetaminophen', 'United States']","['http://purl.obolibrary.org/obo/NCIT_C176639', 'http://purl.obolibrary.org/obo/NCIT_C15315', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C29100', 'http://purl.obolibrary.org/obo/NCIT_C17234']",[' Ordinary differential equation model'],[' MAMO_0000046']
818,BIOMD0000000884,1.0,"['Host Cell', 'Activate', 'Viral Genome', 'Integrated', 'Ecological Momentary Assessment', 'Phenotype', 'DNA', 'Myoviridae']","['http://purl.obolibrary.org/obo/NCIT_C93037', 'http://purl.obolibrary.org/obo/NCIT_C28002', 'http://purl.obolibrary.org/obo/NCIT_C17253', 'http://purl.obolibrary.org/obo/NCIT_C165682', 'http://purl.obolibrary.org/obo/NCIT_C150385', 'http://purl.obolibrary.org/obo/NCIT_C16977', 'http://purl.obolibrary.org/obo/NCIT_C449', 'http://purl.obolibrary.org/obo/NCBITaxon_10662']",[' Homo sapiens'],[' 9606']
782,BIOMD0000000847,1.0,"['phenylalanine', 'Pharmacokinetic Parameters Domain', 'Metabolic Pathway', 'Availability', 'number of substrates', 'Pathway', 'Lignin', 'Secondary', 'Cytosol', 'Substrate', 'Flux', 'shikimate', 'Phenylalanine Metabolism Pathway', 'Biochemical', 'plastid', 'Precursor']","['http://purl.obolibrary.org/obo/CHEBI_28044', 'http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C18611', 'http://purl.obolibrary.org/obo/NCIT_C25429', 'http://biomodels.net/SBO/SBO_0000149', 'http://purl.obolibrary.org/obo/NCIT_C54214', 'http://purl.obolibrary.org/obo/NCIT_C63638', 'http://purl.obolibrary.org/obo/NCIT_C25667', 'http://purl.obolibrary.org/obo/NCIT_C61554', 'http://purl.obolibrary.org/obo/NCIT_C120264', 'http://purl.obolibrary.org/obo/NCIT_C72076', 'http://purl.obolibrary.org/obo/CHEBI_36208', 'http://purl.obolibrary.org/obo/NCIT_C38848', 'http://purl.obolibrary.org/obo/NCIT_C25434', 'http://purl.obolibrary.org/obo/GO_0009536', 'http://purl.obolibrary.org/obo/NCIT_C48044']",[' Ordinary differential equation model'],[' MAMO_0000046']
631,BIOMD0000000677,1.0,"['Muscle Physiology, Contractile', 'Muscle Contraction', 'Pairing']","['http://purl.obolibrary.org/obo/NCIT_C18889', 'http://purl.obolibrary.org/obo/NCIT_C30085', 'http://purl.obolibrary.org/obo/NCIT_C142624']",[' muscle contraction'],[' GO:0006936']
88,BIOMD0000000090,1.0,"['Respiration', 'Aerobic', 'Mathematical Model', 'Computer Modeling', 'Saccharomyces cerevisiae']","['http://purl.obolibrary.org/obo/NCIT_C17091', 'http://purl.obolibrary.org/obo/NCIT_C28341', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C14271']",[' Saccharomyces cerevisiae'],[' 4932']
798,BIOMD0000000864,1.0,"['Stimulus', 'Isolation', 'Cartilage', 'Matrix', 'CDISC Interventions Class', 'modelling framework', 'Bioinformatics', 'Oat Cell', 'BRIDG Terminology', 'cartilage homeostasis', 'Osteoarthritis', 'modified', 'Statistical Markup Language', 'IL-12-expressing Exosome CDK-003']","['http://purl.obolibrary.org/obo/NCIT_C41210', 'http://purl.obolibrary.org/obo/NCIT_C25549', 'http://purl.obolibrary.org/obo/NCIT_C12373', 'http://purl.obolibrary.org/obo/NCIT_C45805', 'http://purl.obolibrary.org/obo/NCIT_C103374', 'http://biomodels.net/SBO/SBO_0000004', 'http://purl.obolibrary.org/obo/NCIT_C17964', 'http://purl.obolibrary.org/obo/NCIT_C36762', 'http://purl.obolibrary.org/obo/NCIT_C159501', 'http://purl.obolibrary.org/obo/GO_1990079', 'http://purl.obolibrary.org/obo/NCIT_C3293', 'http://biomodels.net/SBO/SBO_0000644', 'http://purl.obolibrary.org/obo/NCIT_C47842', 'http://purl.obolibrary.org/obo/NCIT_C185871']",[' Homo sapiens'],[' 9606']
785,BIOMD0000000851,1.0,[],[],[' Ordinary differential equation model'],[' MAMO_0000046']
11,BIOMD0000000012,1.0,"['Stochastic', 'Artificial', 'Escherichia coli', 'Synthesis', 'Intracellular', 'Oscillator Device']","['http://purl.obolibrary.org/obo/NCIT_C142697', 'http://purl.obolibrary.org/obo/NCIT_C61464', 'http://purl.obolibrary.org/obo/NCIT_C14206', 'http://purl.obolibrary.org/obo/NCIT_C61408', 'http://purl.obolibrary.org/obo/NCIT_C28217', 'http://purl.obolibrary.org/obo/NCIT_C50088']",[' Escherichia coli'],[' 562']
796,BIOMD0000000862,1.0,"['Stimulus', 'Isolation', 'Cartilage', 'Matrix', 'CDISC Interventions Class', 'modelling framework', 'Bioinformatics', 'Oat Cell', 'BRIDG Terminology', 'cartilage homeostasis', 'Osteoarthritis', 'modified', 'Statistical Markup Language', 'IL-12-expressing Exosome CDK-003']","['http://purl.obolibrary.org/obo/NCIT_C41210', 'http://purl.obolibrary.org/obo/NCIT_C25549', 'http://purl.obolibrary.org/obo/NCIT_C12373', 'http://purl.obolibrary.org/obo/NCIT_C45805', 'http://purl.obolibrary.org/obo/NCIT_C103374', 'http://biomodels.net/SBO/SBO_0000004', 'http://purl.obolibrary.org/obo/NCIT_C17964', 'http://purl.obolibrary.org/obo/NCIT_C36762', 'http://purl.obolibrary.org/obo/NCIT_C159501', 'http://purl.obolibrary.org/obo/GO_1990079', 'http://purl.obolibrary.org/obo/NCIT_C3293', 'http://biomodels.net/SBO/SBO_0000644', 'http://purl.obolibrary.org/obo/NCIT_C47842', 'http://purl.obolibrary.org/obo/NCIT_C185871']",[' Homo sapiens'],[' 9606']
773,BIOMD0000000837,1.0,"['Tumor-Infiltrating Immune Cell', 'Reprogram', 'Cellular Therapy', 'Remission', 'Fatal', 'Side Effects Question', 'Inflammatory', 'cancer site', 'Re-randomized', 'Response Rate', 'Genetic Engineering', 'Babinski sign', 'ovarian granulosa tumour', 'Predictor', 'Cellular Therapy', 'Inflammatory', 'Toxicity', 'Conjugate View', 'Immunological Diagnostic Method', 'Administered', 'Mathematical Model', 'Dose', 'Cellular Therapy', 'Toxicity', 'Mechanism of Action']","['http://purl.obolibrary.org/obo/NCIT_C153548', 'http://purl.obolibrary.org/obo/NCIT_C111306', 'http://purl.obolibrary.org/obo/NCIT_C70601', 'http://purl.obolibrary.org/obo/NCIT_C18246', 'http://purl.obolibrary.org/obo/NCIT_C71580', 'http://purl.obolibrary.org/obo/NCIT_C173933', 'http://purl.obolibrary.org/obo/NCIT_C25535', 'http://www.ebi.ac.uk/efo/EFO_0000312', 'http://purl.obolibrary.org/obo/NCIT_C186212', 'http://purl.obolibrary.org/obo/NCIT_C94502', 'http://purl.obolibrary.org/obo/NCIT_C16621', 'http://purl.obolibrary.org/obo/HP_0003487', 'http://www.ebi.ac.uk/efo/EFO_0006461', 'http://purl.obolibrary.org/obo/NCIT_C75944', 'http://purl.obolibrary.org/obo/NCIT_C70601', 'http://purl.obolibrary.org/obo/NCIT_C25535', 'http://purl.obolibrary.org/obo/NCIT_C27990', 'http://purl.obolibrary.org/obo/NCIT_C94875', 'http://purl.obolibrary.org/obo/NCIT_C18193', 'http://purl.obolibrary.org/obo/NCIT_C25382', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C25488', 'http://purl.obolibrary.org/obo/NCIT_C70601', 'http://purl.obolibrary.org/obo/NCIT_C27990', 'http://purl.obolibrary.org/obo/NCIT_C54680']",[' Ordinary differential equation model'],[' MAMO_0000046']
